Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: Battery Config: Capacity=40.0kWh, MinSOC=10.0%, Reserve=10.0%
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: Optimization Plan from 2026-04-22 22:15:00+00:00 to 2026-04-24 20:00:00+00:00:
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: Interval: 15 minutes
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: GSHP Initial State: 43.7°C, STOPPED
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: Time        | Baseload | GSHP kW | Grid kW | Solar | SOC% | P-tile | Intent | Acc Sim
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: ------------|----------|---------|---------|-------|------|--------|--------|--------
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 01:15 |      3.6 |     0.0 |    13.6 |  0.00 | 55.9 |  12.5% | STOP   |  42.5
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 01:30 |      3.7 |     0.0 |    13.7 |  0.00 | 61.9 |  12.5% | STOP   |  41.3
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 01:45 |      4.1 |     3.4 |    17.5 |  0.00 | 67.8 |  12.5% | START  |  42.2
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 02:00 |      3.4 |     3.4 |    16.8 |  0.00 | 73.8 |  12.5% | START  |  46.2
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 02:15 |      3.4 |     3.7 |    12.4 |  0.00 | 76.9 |  12.5% | START  |  50.5
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 02:30 |      3.5 |     3.8 |     0.0 |  0.00 | 72.2 |  12.5% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 02:45 |      3.8 |     0.0 |     3.8 |  0.00 | 72.2 |  30.4% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 03:00 |      4.1 |     0.0 |    12.2 |  0.00 | 76.9 |  12.5% | STOP   |  52.6
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 03:15 |      4.0 |     0.0 |     0.0 |  0.00 | 74.3 |  30.4% | STOP   |  51.4
